round_epochs,loss,val_loss,acc,val_acc,hidden_layers,batch_size,activation,lr,epochs,dropout,optimizer,first_neuron,kernel_initializer,last_activation
44,0.5044211972152793,0.4642810100760392,0.7528021978021978,0.7611294510020594,0,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
22,0.6692016398775709,0.5688739218359127,0.7130494505494506,0.758629531047462,1,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
53,0.44568238389361037,0.4573236127636501,0.7673214285714286,0.7610012499828613,2,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
44,0.44535617824439167,0.45607086296574567,0.7702472527472527,0.7629883657097492,0,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.684973569885715,0.6843787247788994,0.5691483516745515,0.5683792185326432,0,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6899927421454545,0.6897600983347687,0.5686813187075185,0.5681869172674735,3,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
56,0.46054231390848266,0.4687787098434276,0.7596703296965295,0.7595269381990418,2,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
58,0.45476731140534954,0.46266515442149875,0.7610851648351649,0.7611615012568589,2,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
19,0.4880558913356655,0.4671310596728011,0.7432417582155584,0.7545911989465424,2,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
20,0.47939839259608763,0.45672167944742326,0.7472802197802197,0.7613538027875665,1,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.689976308293395,0.6897470724207863,0.5686813187075185,0.5681869172674735,2,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
24,0.5483044379098074,0.46324983303648,0.732445054945055,0.759719239800432,0,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
31,0.4736602461207044,0.4575868138454766,0.7512362637100639,0.7593346366511412,0,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
24,0.4686929969080202,0.45616762152998375,0.752651098874899,0.7597512899730867,1,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
31,0.4789692137005565,0.4661651318394058,0.7489010989272987,0.7544309478406551,1,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
30,0.49297726163497335,0.45649085822065216,0.7457142857142857,0.7606486971093838,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.689802426977472,0.6895815121478398,0.5686813187075185,0.5681869172674735,2,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
39,0.45787519937033183,0.4551943976857495,0.7621153846153846,0.7600717925191717,0,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
32,0.4885626607019823,0.47322808067056105,0.742458791234991,0.7580846767254218,2,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6880072550721221,0.6877143666884146,0.5686813187075185,0.568186917003846,2,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
38,0.47218081757262514,0.4601484827974516,0.7542032967032967,0.757700073820655,0,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
44,0.4531638134180844,0.4601585671932727,0.7643818681318681,0.75936668695752,1,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
21,0.4848051596211863,0.4621714929167168,0.7428708791470789,0.7578282746755635,2,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
30,0.4792575944255997,0.4717395219018546,0.7522664835426833,0.7556168071077686,2,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6861093198860084,0.6858591214803804,0.5686813186813187,0.5681869171003184,1,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
18,0.4962197901783409,0.4629156915450959,0.7445192307692308,0.7580205762215537,0,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
31,0.4665862332726573,0.46743772040364495,0.7544917582417583,0.7600717925936751,3,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
23,0.4808926113359221,0.4671729729212323,0.7497115384877383,0.759462837679891,3,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
36,0.6374879813194275,0.7088648524426798,0.709120879147079,0.7579885259629335,2,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
26,0.5179249450662634,0.5903078068170382,0.7315384615384616,0.7574116214147489,3,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
44,0.4647442732931493,0.473096526730103,0.7570741758241758,0.7585333802926151,3,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
20,0.4792519276875716,0.4593294207629346,0.7487912087912088,0.7582449281617987,0,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
25,0.500363594686592,0.45831365157944975,0.7427747252747253,0.7609050992203731,0,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6879664666312082,0.6876827404230154,0.5686813187075185,0.568186917003846,2,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6880463106815632,0.6876606783677071,0.5746978021978022,0.5729944554874024,0,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6879676048310248,0.6876878794032539,0.5686813187075185,0.568186917003846,3,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
38,0.4479503940487956,0.45512647589392885,0.7680494505494505,0.7621550591250787,0,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
24,0.5268292387239225,0.4752003912253126,0.7260164835164835,0.7572513703451581,2,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
31,0.46938001271132584,0.461243795872323,0.7549999999738002,0.7579244256138034,1,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
39,0.45411355292404093,0.45456708346394054,0.7606181318943317,0.7606807473641833,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
43,0.48103584985156633,0.4589723508360523,0.7449725274725275,0.7589500335114021,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
44,0.44974475158439886,0.47208084697841984,0.7659065934065934,0.7617704560674844,1,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
23,0.47357134171894616,0.47024155012869934,0.750576923076923,0.756225762017732,2,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6879880020906637,0.6877051204054223,0.5686813187075185,0.568186917003846,2,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
33,0.4601196296267457,0.4547316315267633,0.7571703296441298,0.7616422550100794,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
29,0.5499401317323958,0.5135719878070419,0.726195054945055,0.7606166469271773,2,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
40,0.44233564245831836,0.45499781577320675,0.7701236263736264,0.7614179032646896,2,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
38,0.4478441162685772,0.45332966242431505,0.7698351648351648,0.7630845165448304,0,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
19,1.9077192355774262,0.5167399801843758,0.652760989010989,0.7478926959436967,3,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6897709329835661,0.6895595474322023,0.5686813187075185,0.5681869172674735,1,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
36,0.48155928652365126,0.4832014892484197,0.7472939560177562,0.7588218325858108,3,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
30,0.45239599233145245,0.4564462329093044,0.7643131868131868,0.75936668695752,3,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
31,0.5395096553288973,0.47582119687245955,0.7371703296965295,0.7583410788440524,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
19,0.6250057367440108,0.5225631938577138,0.7040521978021979,0.7560975609259408,2,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
17,0.49788884665939837,0.47321930180291005,0.7386675824175825,0.7522194800971086,3,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6880111172435048,0.6877294448219711,0.5686813187075185,0.568186917003846,1,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
20,0.5121885495395451,0.46992352082482447,0.7359065934065934,0.7586936315647024,2,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6859179456155379,0.6856770079864347,0.5686813186813187,0.5681869171003184,3,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6860785905083457,0.6858373350456912,0.5686813186813187,0.5681869171003184,1,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
37,0.5887542057299352,0.7402038113902247,0.7182829670591668,0.7576039229015186,3,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
32,0.4306559585738968,0.45614269727590945,0.7788186813186814,0.7620909586460451,1,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6859503956155463,0.6857183791174307,0.5686813186813187,0.5681869171003184,2,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
19,0.4660593673161098,0.45945990424305805,0.7573489010989011,0.7575077721409407,0,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
32,0.4678655399070991,0.459658910170155,0.7538324175562178,0.7563860134751227,2,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6858786188377128,0.6856493811504814,0.5686813186813187,0.5681869171003184,1,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6858746857695527,0.6856364172978461,0.5686813186813187,0.5681869171003184,3,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
38,0.49363781140400814,0.47480493236541715,0.7399862637362637,0.7532130382404179,2,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6789227024277488,0.677753549979087,0.5689148351648352,0.5681869171003184,0,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6858979943034413,0.685664827735916,0.5686813186813187,0.5681869171003184,2,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
29,0.49030983936655653,0.47058600253112987,0.7536675824175825,0.7601358931032741,1,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
7,0.6769535902568272,0.6758751070333985,0.5687912087912088,0.5683151181195165,0,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6860409813136845,0.685801217716163,0.5686813186813187,0.5681869171003184,2,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
18,0.5409863486918775,0.5337323887482434,0.7241208791208791,0.7564501137707632,3,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
49,0.4662953175686218,0.4631364170973746,0.7555082417582417,0.7564821641478247,2,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6878750986319322,0.6876001147798864,0.5686813187075185,0.568186917003846,3,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
33,0.4718555357692006,0.455360310519377,0.7566895604395605,0.7628281144758687,0,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
22,0.5268472325146853,0.47111050585768804,0.7427335165097163,0.7551040031818934,1,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6846259947923513,0.6839870561915656,0.5687362637362637,0.5682189672586455,0,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
14,0.4850232315587473,0.45952978255767774,0.7467857143119141,0.7589500336050089,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
27,0.4905936797634586,0.4591246063038881,0.7420879120879121,0.7596551392105985,1,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
34,0.48090000967403035,0.47521377980092033,0.7457967032967033,0.7555527065943489,3,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
33,0.4695126405129066,0.45650418875045584,0.7585302197802197,0.7616743053049961,0,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6879432030824515,0.6876498356961558,0.5686813187075185,0.568186917003846,2,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
32,0.5198282412513272,0.5353360522871181,0.7325274725274725,0.7587256818175916,3,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
30,0.5187336662051442,0.4953806120930358,0.732074175797976,0.758950033849533,3,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6898551739703168,0.6896317934463438,0.5686813187075185,0.5681869172674735,3,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
24,0.45141989683056927,0.4577397806203685,0.7643681318681319,0.7590141341547252,1,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.6841955360213479,0.6835437666483061,0.5712912088174086,0.5684433190422422,0,128,<function softmax at 0x7f2babd44950>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
41,0.45110265871980687,0.4561528491431721,0.765206043956044,0.7606486971074734,3,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
22,0.4763537671277811,0.46363833590480885,0.7508791208529211,0.7567065157633112,2,128,<function relu at 0x7f2babd44bf8>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
13,1.3584349420568445,0.5114485752463727,0.6569093406593407,0.7444312682209411,3,64,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
48,0.5039536433691507,0.4956368637835344,0.7317170329932328,0.7552001537820023,3,256,<function relu at 0x7f2babd44bf8>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
6,0.6859414155404646,0.6857040353086659,0.5686813186813187,0.5681869171003184,2,64,<function softmax at 0x7f2babd44950>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
6,0.688422684433696,0.6880464090650988,0.5720604395342397,0.5721931989435729,0,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
24,0.5205991948174906,0.46000101414270417,0.7377197802459801,0.7601999935441008,0,128,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
6,0.6897931031866388,0.6895688860975226,0.5686813187075185,0.5681869172674735,2,256,<function softmax at 0x7f2babd44950>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
21,0.4947498422402602,0.46018204708205734,0.7395741758503757,0.759014134359132,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.4,<class 'keras.optimizers.Adam'>,512,random_normal,<function softmax at 0x7f2babd44950>
26,0.6233543132687663,0.7891395208579692,0.7085027472527472,0.756289862527331,3,64,<function tanh at 0x7f2babd44c80>,0.01,2000,0.5,<class 'keras.optimizers.Adam'>,2048,random_normal,<function softmax at 0x7f2babd44950>
40,0.4806409811449575,0.4553848213979225,0.7492994505232508,0.761898657117248,1,256,<function tanh at 0x7f2babd44c80>,0.01,2000,0.3,<class 'keras.optimizers.Adam'>,1024,random_normal,<function softmax at 0x7f2babd44950>
